Page,Post Text,Media Type
Cahyosaputro,Samsuelbtuel.com is application for work management between the measurement division and certificate division to complete their checklist and throw notification status to each division when completed.This platform was built by :- Web platform by Laravel Inertia- Restful API backend by Laravel- Mobile application uby FLutter.see my portfolio herehttps://lnkd.in/gDaxjYcb,Image
Cahyosaputro,Are you looking for experienced VueJS Developer?Let's collaborate to bring your vision to life! Reach out to me to discuss how I can contribute to your project. https://lnkd.in/gDaxjYcb,Image
Cahyosaputro,"Kualitas Muda Produksi is a fashion production house where located in Central java, Indonesia. This company concern on quality and friendly service.This Platform was built using PHP, JavaScript, CodeIgniter framework.See some portfolios herehttps://lnkd.in/gCqCrXps",Image
Cahyosaputro,"You will get experienced full stack developer over 7 years of experience. I have strong experience in JavaScript and PHP frameworks, including React.js, Node.js, Next.js, Nuxt.js, Vue.js, CodeIgniter, and Laravel.Let's collaborate to bring your vision to life! Reach out to me to discuss how I can contribute to your project. I will care for and understand your expectations in brief or illustrations.For detailshttps://lnkd.in/gqJ85ikW",Image
Cahyosaputro,The DRY (Don't Repeat Yourself) principle is a foundational concept in software development that aims to reduce redundancy and improve maintainability. https://lnkd.in/dM2abN6jHere are its core principles:,Article
Cahyosaputro,"Hi, I’m Cahyo, a senior full stack developer with over 7 years of experience and more than 200 projects under my belt. I am curious and open-minded, always eager to learn and adapt to new technologies. With a background in web services & programmingMy Service:✅ SaaS App Development✅ API Development & Documentation✅ Enterprice Resource Planning✅ Geographic Information System✅ Website Development✅ Database Architecture✅ Performance Optimization✅ E-commerce Development✅ Integration & Migration✅ Landing Page✅ Company Profile✅ AWS",Video
Cahyosaputro,"Hi everyone - I’m looking for a new role and would really appreciate your support. I’m eager to bring my expertise, skills, and experience to a new challenge.I’d love to reconnect with you, share my experience, and catch up on what’s new in your world. If you hear of any opportunities that you think are worth looking into, or are open to chatting, send me a message or comment below! Tagar#OpenToWork",Unknown
Cahyosaputro,I’m happy to share that I’m starting a new position as Senior Software Engineer at Upwork!,Unknown
Cahyosaputro,"Open RecruitmentWeb Programmer (Fullstack , Parttime/Fulltime)Berikut Deskripsi dan spesifikasi :Jika kamu tertarik, kirim CV dan info portfolio ke email join@inowfashion.idwww.inowfashion.id",Image
Cahyosaputro,"Siapa nih yang sudah terbiasa pakai API dari Google, ex : google calendar Tagar#google Tagar#iamdeveloper Tagar#coder",Unknown
Cahyosaputro,I'm hosting Webinar Indonesia Fashion Trend Forecasting 2023. Would you like to attend?,Unknown
Cahyosaputro,Selamat www.nameedle.com diusung tim Werkudoro maju jadi Finalis Lomba Ide Bisnis TIK ITCC  2022 Udayana Bali bit.ly/FinalisIdeBisnisTIK Tagar#bisnis Tagar#competition,Unknown
Cahyosaputro,"Inowfashion x Hamparan RintikLive Sharing ""Model Bisnis Kreatif Menggunakan Batik Tulis & Shibori""IG Live Session with Hamparan RintikFikrah Ryanda SaputraSABTU, 15 oktober 2022 19.00-20.00 WIBTagar#shibori Tagar#fashion Tagar#brandfashion Tagar#sustainablefashion Tagar#brand Tagar#sustainable Tagar#sharingsession Tagar#bisnis https://lnkd.in/gZYP4Yc4",Video
Cahyosaputro,"Perjalanan menemukan brand identity dan brand story benar memang panjang, akan ada banyak temuan temuan baru ketika kita menjalankannya. Hal seperti itu yang membuat kita selaku pelaku bisnis akan Up & Down, Sustainability adalah kompas yang kami usung untuk menjalankan inowfashion terhadap mitra atau partnernya. Happy Firday https://lnkd.in/gf8i6ejMTagar#brandstory Tagar#sustainability Tagar#kita Tagar#konsultanbrandfashion Tagar#brandidentity",Image
Cahyosaputro,"www.inowfashion.idInowfashion merupakan platform kolaborasi untuk mengembangkan brand bagi pelaku bisnis fashion.Inowfashion hadir sebagai platform kolaborasi bagi para brand ownernya. Inowfashion adalah sebuah wadah atau komunitas dimana anggotanya akan dipertemukan dengan beberapa ahli / praktisi usaha yang memiliki pengalaman terutama di branding, marketing dan bisnis.",Image
Cahyosaputro,kamu punya jiwa fashion marketing? Tagar#marketing Tagar#fashion,Image
Cahyosaputro,"[ One Stop Service Production ]Produksi salah satu brand domisili London, Inggris;- Konsultasi produksi- Pembuatan pola- Layout desain printing- cutting, jahit dan finishing- Pembuatan dokumentasi ukuran dan kebutuhan kain- hingga terakhir produk siap dijualMau bikin brand, yuk ngobrol 089690240701",Video
